# Dataset Report: Modum (MOD)
# Coin Name: Modum
# Symbol: MOD
# Base Currency: BTC
# Approx Row Count: 1693
# Date Range: 2021-06-29 to 2026-02-15
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_MOD, Volume_BTC
# Note: Launched 2017. Swiss IoT/Supply chain project. Legacy data paired with BTC.
# --------------------------------------------------
Date,open,high,low,close,Volume_MOD,Volume_BTC
2023-10-26,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-10-27,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-10-28,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-10-29,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-10-30,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-10-31,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-01,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-02,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-03,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-04,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-05,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-06,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-07,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-08,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-09,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-10,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-11,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-12,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-13,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-14,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-15,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-16,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-17,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-18,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-19,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-20,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-21,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-22,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-23,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-24,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-25,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-26,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-27,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-28,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-29,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-11-30,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-01,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-02,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-03,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-04,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-05,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-06,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-07,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-08,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-09,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-10,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-11,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-12,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-13,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-14,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-15,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-16,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-17,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-18,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-19,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-20,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-21,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-22,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-23,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-24,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-25,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-26,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-27,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-28,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-29,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-30,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2023-12-31,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-01,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-02,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-03,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-04,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-05,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-06,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-07,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-08,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-09,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-10,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-11,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-12,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-13,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-14,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-15,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-16,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-17,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-18,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-19,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-20,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-21,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-22,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-23,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-24,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-25,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-26,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-27,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-28,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-29,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-30,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-01-31,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-01,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-02,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-03,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-04,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-05,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-06,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-07,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-08,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-09,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-10,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-11,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-12,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-13,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-14,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-15,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-16,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-17,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-18,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-19,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-20,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-21,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-22,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-23,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-24,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-25,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-26,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-27,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-28,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-02-29,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-01,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-02,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-03,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-04,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-05,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-06,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-07,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-08,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-09,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-10,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-11,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-12,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-13,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-14,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-15,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-16,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-17,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-18,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-19,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-20,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-21,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-22,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-23,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-24,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-25,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-26,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-27,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-28,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-29,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-30,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-03-31,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-01,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-02,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-03,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-04,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-05,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-06,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-07,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-08,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-09,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-10,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-11,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-12,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-13,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-14,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-15,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-16,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-17,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-18,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-19,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-20,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-21,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-22,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-23,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-24,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-25,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-26,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-27,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-28,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-29,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-04-30,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-01,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-02,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-03,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-04,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-05,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-06,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-07,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-08,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-09,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-10,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-11,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-12,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-13,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-14,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-15,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-16,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-17,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-18,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-19,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-20,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-21,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-22,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-23,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-24,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-25,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-26,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-27,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-28,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-29,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-30,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-05-31,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-01,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-02,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-03,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-04,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-05,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-06,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-07,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-08,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-09,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-10,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-11,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-12,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-13,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-14,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-15,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-16,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-17,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-18,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-19,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-20,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-21,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-22,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-23,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-24,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-25,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-26,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-27,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-28,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-29,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-06-30,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-01,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-02,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-03,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-04,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-05,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-06,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-07,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-08,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-09,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-10,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-11,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-12,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-13,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-14,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-15,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-16,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-17,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-18,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-19,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-20,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-21,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-22,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-23,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-24,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-25,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-26,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-27,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-28,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-29,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-30,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-07-31,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-01,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-02,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-03,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-04,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-05,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-06,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-07,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-08,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-09,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-10,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-11,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-12,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-13,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-14,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-15,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-16,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-17,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-18,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-19,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-20,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-21,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-22,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-23,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-24,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-25,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-26,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-27,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-28,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-29,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-30,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-08-31,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-09-01,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-09-02,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-09-03,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-09-04,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-09-05,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-09-06,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-09-07,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-09-08,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
2024-09-09,5.85e-06,5.85e-06,5.85e-06,5.85e-06,0.0,0.0
